etiqueta,experiencia_slug,tipo_regla,precio_cop,min_pax,max_pax,origen,orden,activa,supabase_id
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,e8c756cc-abdd-4f90-9f28-a10ba1ee4049
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,740000,,,Bogotá,4,Sí,7433949b-03bf-4912-9aed-63fd6f60d720
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,5b41f64d-480a-4955-9381-fa6082bdea55
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,56cced8f-4243-4fbc-875a-80cb7d7c7eff
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,f0b98105-e186-4864-b5f3-229aae02c72f
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,48bda336-e2bc-4e98-a876-8588e020cf24
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,f0a4a0dd-4952-4fbe-89dc-f1e4e52a6ba7
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,8daff7a4-0d9a-4563-b3b0-b03a196684fb
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,7369346f-077c-462f-b327-5bc04707ec53
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,035b7962-4a32-4460-a5c0-7d5cacdd1e39
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,6e1af9cd-89b1-481d-b802-0ec9161171d8
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,fd32126d-3ff4-4199-8a7a-e03222854e43
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,20158653-817c-4c15-8b32-5ddacccbcd9a
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,2e2a64c9-5374-4f9f-a3bf-f8cb231cfc6e
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,e8ca5759-2053-4bc6-8e63-038a17fc39a4
1 Persona,monserrate-camino-antiguo,per_person,130000,1,1,,0,Sí,60c665e8-eb16-4839-abd4-2232e581d5fb
2 o más,monserrate-camino-antiguo,per_person,100000,2,30,,1,Sí,d3f6b63f-1852-4a46-bff5-24d78655fa8a
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,853d3cd3-b387-499f-9952-238a1403086d
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,58ec832d-61e6-4e97-9e33-e3297a8bfe87
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,a76c2144-e783-4b98-aadb-bc149bfb83f8
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,d9f5b2d3-c588-4852-8801-115549fe8d99
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,42f5fc8d-efd8-43f6-82d6-df811a6438c0
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,f6e2c6bd-1df0-484e-9c47-484eca47f5bd
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,38cd4c2d-0500-4fe6-ae72-b3444c4f990b
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,67348300-3012-4cc5-a57a-0ea8eb538a95
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,f2866f85-f235-48f4-8635-69760165d11b
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,52517895-620d-4ed0-be10-204f6e3ddc8b
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,e22ae351-74ed-4def-9570-b2b2f549c09b
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,c847fe50-98e6-4976-848a-3a45f81b1dbc
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,1eaccacd-9dde-4ee7-adb9-a0c67987f7c8
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,e225630c-0b11-468e-9af2-af484f6428d6
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,679cd485-67bf-4aed-9069-ce1baf141ffe
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,84a2df14-3ad8-4ff9-bd2c-8f4fdf26b051
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,021a36cb-5919-468f-baa5-f4a2b1fd033c
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,bd5fbe08-4413-48be-8e25-c30d6c34c9c8
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,9b633a01-a1c7-465b-9448-a786395b35b1
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,32a5e895-4729-458f-8e66-7dbe86bd1b5f
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,21e7d93e-791e-482e-9a9e-7ddc74213a9f
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,f0256a5b-2d3c-4cf7-960b-6c51568196b9
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,8bc813f4-4ffc-4fb5-bc3d-fb10eb987e8c
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,c28db1ae-0521-4cad-bc76-693f7cf3f226
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,8dfa8ec4-63d9-483f-be95-16261d6d8555
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,1120c533-9d32-442b-9e01-df0f533e5990
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,bdbb5cf4-d390-4c60-b7f5-63c3b1a28b80
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,dd700ce2-94c8-4656-8ac9-bf6df7b5c170
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,f8bfed89-5753-4309-97ff-540ce8528e2e
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,f748484b-9315-42f4-8939-adf1eaf094a3
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,b9aa1552-b70c-4e63-876b-3b915f9f15dd
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,855fcd0c-d277-4444-b0e8-22e7109b5e3e
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,00a3ff93-c4dc-49e0-9ef2-89fe55ffc049
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,133b0449-7431-4c71-9c43-dcf8c785e406
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,e0e951b4-5897-451a-94a1-4a5b5a2766fc
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,fe9cb43d-59bc-4522-b054-6c08b23d1c6d
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,4e2dfbb2-e709-49ce-9220-5d5d75232659
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,ad442773-61b3-45c1-9f80-342a5e0a668d
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,d3d99986-0366-4518-b5f6-d904b6f172c2
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,bb3293be-013a-4d49-a451-7e7ee42f780d
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,847a6cbd-4166-4fb5-91e5-904d1c9314ad
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,3f18b227-cdef-496a-92f0-855565669a88
